id,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q11,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q15,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q16,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q17,Q18,Q20,Q21,device_type,מקור,ISAIncome
975,גבר,20,ערבי - מוסלמי,המשולש,,,1,סיב אופטי,בזק בינלאומי,,,,,,,,,,,,,אף אחד מהם,נטפליקס – Netflix,דיסני פלוס,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,לא יודע/ת,דומה לממוצע,"mobile, iOS",0,12001-13000
1069,אישה,20,יהודי,,(04) צפון,מסורתי/ת,1,כבלים של הוט,סמייל 012,,הוט -Hot ,,,,סלקום TV,,,,,,,,,,יוטיוב - YouTube - מנוי בתשלום,,,,BIGI,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,על יסודית,7001-8000,,"mobile, iOS",0,7001-8000
1155,אישה,20,יהודי,,(03) מרכז,חילוני/ת,1,סיב אופטי,בזק בינלאומי,,,,יס - Yes,יס פלוס - Yes,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,,,,,,,,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,דומה לממוצע,"mobile, Android",0,12001-13000
1221,גבר,20,יהודי,,(03) מרכז,מסורתי/ת,1,סיב אופטי,סלקום,,,,,,,פרטנר TV,,,,,,,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,אפל TV - AppleTV,,,BIGI,אחר,,,,אפל מיוזיק - Apple music,,טיידל -  Tidal,דיזר - Deezer,,,,יסודית,12001-13000,,"mobile, iOS",0,12001-13000
1235,אישה,20,ערבי - מוסלמי,הכרמל וסביבותיו,,,1,קו טלפון (ADSL),בזק בינלאומי,,,,,,,,,,,,לא יודע ת,,נטפליקס – Netflix,,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,6001-7000,,"mobile, iOS",0,6001-7000
128,גבר,21,יהודי,,(02) ירושלים,חילוני/ת,1,סיב אופטי,סלקום,,,,,,,,,FreeTV,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב
162,גבר,21,יהודי,,(03) מרכז,מסורתי/ת,1,סיב אופטי,הוט נט,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,16001-18000,,desktop,0,16001-18000
278,גבר,21,יהודי,,(08) דרום,מסורתי/ת,1,סיב אופטי,הוט נט,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,על תיכונית,11001-12000,,desktop,0,11001-12000
323,גבר,21,יהודי,,(04) צפון,מסורתי/ת,1,סיב אופטי,פרטנר,,,,,,,פרטנר TV,,,,,,,נטפליקס – Netflix,,,,,,,,,,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,10001-11000,,"mobile, iOS",0,10001-11000
370,גבר,21,יהודי,,(03) מרכז,מסורתי/ת,1,סיב אופטי,הוט נט,,הוט -Hot ,,,,,,,,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,,,,,,,תיכונית / ישיבה קטנה,לא יודע/ת,מסרב/ת להשיב,"mobile, Android",0,לא יודע|ת
406,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,כבלים של הוט,הוט נט,,,,יס - Yes,,,,,FreeTV,,,,,נטפליקס – Netflix,,,,,,,,,,ספוטיפיי – Spotify,אפל מיוזיק - Apple music,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,9001-10000,,"mobile, iOS",0,9001-10000
408,גבר,21,יהודי,,(08) דרום,חילוני/ת,1,סיב אופטי,פרטנר,,,,,,,,,,,אחר,,אף אחד מהם,,,,,,,,אחר,,,,,YouTube Music   YouTube Premium,,,אחר,,,על תיכונית,13001-14000,,"mobile, Android",0,13001-14000
492,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,פלאפון,,הוט -Hot ,,,,,,,,,,,,,,,,,,,,לא יודע ת,,,,,,,,לא יודע ת,,על תיכונית,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב
495,אישה,21,יהודי,,(03) מרכז,מסורתי/ת,1,לא יודע/ת,לא יודע/ת,,,,,,,,,,,,לא יודע ת,,,,,,,,,,לא יודע ת,,ספוטיפיי – Spotify,,,,,,,,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב
567,גבר,21,יהודי,,(08) דרום,חילוני/ת,1,סיב אופטי,בזק בינלאומי,,,,יס - Yes,יס פלוס - Yes,,,,,,,,,נטפליקס – Netflix,דיסני פלוס,יוטיוב - YouTube - מנוי בתשלום,,,,,,,,,,YouTube Music   YouTube Premium,,,,,,תיכונית / ישיבה קטנה,16001-18000,,"mobile, Android",0,16001-18000
578,גבר,21,יהודי,,(04) צפון,חילוני/ת,1,אחר,טריפל סי,,,,,,,,,,עידן פלוס - Idan,,,,,,,,,,,,,אף אחד מהם,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,13001-14000,,"mobile, Android",0,13001-14000
620,אישה,21,יהודי,,(02) ירושלים,מסורתי/ת,1,לא יודע/ת,בזק בינלאומי,,,,,יס פלוס - Yes,,,,,,,,,,,,,,,,,,אף אחד מהם,,,,,,,,אף אחד מהם,תיכונית / ישיבה קטנה,8001-9000,,"mobile, iOS",0,8001-9000
