ת״ז,מגדר,גיל,לאום,הגדרה דתית,סוג חיבור האינטרנט,ספק האינטרנט,השכלה,הכנסה למשק בית,הכנסה מעל או מתחת לממוצע,סוג מכשיר,מקור,הכנסה,איזור מגורים,ספק טלויזיה ישראלי,צריכת שירותי מוזיקה,הכנסה_מספרית,ספק טלוויזיה בינלאומי,קבוצת_גיל,נטפליקס
286,גבר,56,יהודי,חילוני/ת,סיב אופטי,פרטנר,על תיכונית,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,12500,נטפליקס – Netflix,56+,TRUE
346,אישה,56,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,דומה לממוצע,"mobile, Android",0,12001-13000,(03) מרכז,הוט -Hot,YouTube Music   YouTube Premium,12500,נטפליקס – Netflix; BIGI,56+,TRUE
380,אישה,56,יהודי,דתי/ה,סיב אופטי,פרטנר,אקדמאית תואר שני,מסרב/ת להשיב,דומה לממוצע,desktop,0,12001-13000,(08) דרום,פרטנר TV,אף אחד מהם,12500,נטפליקס – Netflix,56+,TRUE
411,אישה,56,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(04) צפון,יס - Yes,YouTube Music   YouTube Premium,20000,נטפליקס – Netflix,56+,TRUE
418,גבר,56,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר שני,22001-27000,,"mobile, Android",0,22001-27000,(04) צפון,פרטנר TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix,56+,TRUE
507,אישה,56,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,22001-27000,,"mobile, Android",0,22001-27000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,56+,TRUE
541,אישה,56,יהודי,חילוני/ת,אחר,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,4001-5000,מעט מתחת לערך הממוצע,"mobile, Android",0,4001-5000,(08) דרום,Sting TV,YouTube Music   YouTube Premium,4500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,56+,TRUE
557,אישה,56,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify,13500,דיסני פלוס,56+,FALSE
673,אישה,56,יהודי,דתי/ה,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(03) מרכז,פרטנר TV,אף אחד מהם,15000,נטפליקס – Netflix,56+,TRUE
786,אישה,56,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,6001-7000,מעט מתחת לערך הממוצע,desktop,0,6001-7000,(02) ירושלים,יס - Yes,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,6500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,56+,TRUE
825,גבר,56,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,desktop,0,22001-27000,(04) צפון,Sting TV; FreeTV,ספוטיפיי – Spotify,,נטפליקס – Netflix; דיסני פלוס,56+,TRUE
826,אישה,56,יהודי,דתי/ה,לא יודע/ת,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, Android",0,22001-27000,(04) צפון,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס,56+,TRUE
919,אישה,56,יהודי,חילוני/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(04) צפון,הוט -Hot; אחר,YouTube Music   YouTube Premium,20000,נטפליקס – Netflix; אמאזון פריים - Amazon Prime,56+,TRUE
990,אישה,56,יהודי,חילוני/ת,כבלים של הוט,הוט נט,על תיכונית,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,(04) צפון,הוט -Hot,YouTube Music   YouTube Premium,9500,נטפליקס – Netflix,56+,TRUE
158,גבר,57,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,20000,נטפליקס – Netflix,56+,TRUE
168,גבר,57,יהודי,מסורתי/ת,לא יודע/ת,לא יודע/ת,תיכונית / ישיבה קטנה,13001-14000,מעט מעל הערך הממוצע,"mobile, iOS",0,13001-14000,(09) שרון,פרטנר TV,לא יודע ת,13500,דיסני פלוס,56+,FALSE
176,אישה,57,יהודי,חרדי/ת,קו טלפון (ADSL),לא יודע/ת,על תיכונית,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(03) מרכז,לא יודע ת; אף אחד מהם,אף אחד מהם,12500,נטפליקס – Netflix; אחר,56+,TRUE
213,גבר,57,יהודי,חילוני/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,9001-10000,מעט מתחת לערך הממוצע,desktop,0,9001-10000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,9500,נטפליקס – Netflix; דיסני פלוס,56+,TRUE
291,אישה,57,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,על יסודית,7001-8000,מעט מתחת לערך הממוצע,"mobile, Android",0,7001-8000,(08) דרום,יס - Yes,YouTube Music   YouTube Premium,7500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,56+,TRUE
536,אישה,57,יהודי,מסורתי/ת,סיב אופטי,פרטנר,תיכונית / ישיבה קטנה,10001-11000,מעט מתחת לערך הממוצע,"mobile, Android",0,10001-11000,(03) מרכז,יס - Yes,YouTube Music   YouTube Premium,10500,נטפליקס – Netflix,56+,TRUE
561,גבר,57,יהודי,חילוני/ת,כבלים של הוט,הוט נט,על תיכונית,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(04) צפון,עידן פלוס - Idan,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,נטפליקס – Netflix,56+,TRUE
711,גבר,57,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,27001-32000,,"mobile, iOS",0,27001-32000,(09) שרון,הוט -Hot,אף אחד מהם,,נטפליקס – Netflix; דיסני פלוס; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,56+,TRUE
741,גבר,57,יהודי,מסורתי/ת,כבלים של הוט,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, Android",0,22001-27000,(09) שרון,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,56+,TRUE
774,אישה,57,יהודי,מסורתי/ת,לא יודע/ת,הוט נט,תיכונית / ישיבה קטנה,5001-6000,מעט מתחת לערך הממוצע,"mobile, Android",0,5001-6000,(08) דרום,הוט -Hot,YouTube Music   YouTube Premium,5500,נטפליקס – Netflix; BIGI,56+,TRUE
857,אישה,57,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,7001-8000,מעט מתחת לערך הממוצע,"mobile, Android",0,7001-8000,(09) שרון,יס - Yes; סלקום TV; פרטנר TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,7500,אחר,56+,FALSE
952,אישה,57,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,על תיכונית,14001-16000,מעט מעל הערך הממוצע,desktop,0,14001-16000,(04) צפון,הוט -Hot,אף אחד מהם,15000,נטפליקס – Netflix; אחר,56+,TRUE
1034,גבר,57,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(08) דרום,הוט -Hot,אף אחד מהם,15000,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום; דיסקברי פלוס - Discovery Plus,56+,TRUE
284,אישה,58,יהודי,דתי/ה,סיב אופטי,בזק בינלאומי,על תיכונית,27001-32000,,"mobile, Android",0,27001-32000,(04) צפון,יס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix; דיסני פלוס,56+,TRUE
339,גבר,58,יהודי,דתי/ה,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,(02) ירושלים,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,9500,נטפליקס – Netflix; דיסני פלוס,56+,TRUE
441,אישה,58,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,על יסודית,12001-13000,מעט מתחת לערך הממוצע,"mobile, iOS",0,12001-13000,(04) צפון,יס - Yes; יס פלוס - Yes; פרטנר TV; Sting TV,אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,12500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,56+,TRUE
467,אישה,58,יהודי,חילוני/ת,סיב אופטי,סמייל 012,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,16001-18000,מעט מעל הערך הממוצע,desktop,0,16001-18000,(04) צפון,סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,17000,נטפליקס – Netflix,56+,TRUE
