ת״ז,מגדר,גיל,לאום,הגדרה דתית,סוג חיבור האינטרנט,ספק האינטרנט,השכלה,הכנסה למשק בית,הכנסה מעל או מתחת לממוצע,סוג מכשיר,מקור,הכנסה,איזור מגורים,ספק טלויזיה ישראלי,צריכת שירותי מוזיקה,הכנסה_מספרית,ספק טלוויזיה בינלאומי,קבוצת_גיל,נטפליקס
508,גבר,25,יהודי,חילוני/ת,קו טלפון (ADSL),סלקום,תיכונית / ישיבה קטנה,מסרב/ת להשיב,קצת מתחת לממוצע,"mobile, Android",0,9001-10000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,9500,נטפליקס – Netflix,18-25,TRUE
552,גבר,25,יהודי,מסורתי/ת,סיב אופטי,פרטנר,על תיכונית,מסרב/ת להשיב,הרבה מתחת לממוצע,desktop,0,עד 3000,(08) דרום,הוט -Hot; פרטנר TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,1500,נטפליקס – Netflix,18-25,TRUE
575,גבר,25,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,22001-27000,,"mobile, iOS",0,22001-27000,(03) מרכז,Sting TV,אחר,,יוטיוב - YouTube - מנוי בתשלום; אמאזון פריים - Amazon Prime; BIGI,18-25,FALSE
639,אישה,25,יהודי,מסורתי/ת,לא יודע/ת,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,8001-9000,מעט מתחת לערך הממוצע,"mobile, iOS",0,8001-9000,(04) צפון,אחר,אף אחד מהם,8500,נטפליקס – Netflix,18-25,TRUE
670,גבר,25,יהודי,חרדי/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,11001-12000,מעט מתחת לערך הממוצע,"mobile, Android",0,11001-12000,(03) מרכז,אף אחד מהם,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,11500,יוטיוב - YouTube - מנוי בתשלום; אמאזון פריים - Amazon Prime; BIGI,18-25,FALSE
693,גבר,25,יהודי,מסורתי/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,4001-5000,מעט מתחת לערך הממוצע,"mobile, Android",0,4001-5000,(04) צפון,FreeTV,YouTube Music   YouTube Premium,4500,נטפליקס – Netflix; דיסני פלוס; BIGI,18-25,TRUE
712,גבר,25,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(04) צפון,סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,נטפליקס – Netflix,18-25,TRUE
726,גבר,25,יהודי,חרדי/ת,לא יודע/ת,אינטרנט רימון/אתרוג,על תיכונית,14001-16000,מעט מעל הערך הממוצע,desktop,0,14001-16000,(03) מרכז,אף אחד מהם,YouTube Music   YouTube Premium,15000,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
729,אישה,25,יהודי,חילוני/ת,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,7001-8000,מעט מתחת לערך הממוצע,desktop,0,7001-8000,(08) דרום,אחר,ספוטיפיי – Spotify; אחר,7500,דיסני פלוס; אחר,18-25,FALSE
742,אישה,25,יהודי,מסורתי/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(04) צפון,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; אחר,18-25,TRUE
763,גבר,25,יהודי,מסורתי/ת,סיב אופטי,הוט נט,תיכונית / ישיבה קטנה,12001-13000,מעט מתחת לערך הממוצע,"mobile, iOS",0,12001-13000,(03) מרכז,הוט -Hot,YouTube Music   YouTube Premium,12500,נטפליקס – Netflix,18-25,TRUE
806,אישה,25,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, iOS",0,עד 3000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,1500,נטפליקס – Netflix,18-25,TRUE
846,אישה,25,יהודי,חילוני/ת,לא יודע/ת,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,8001-9000,מעט מתחת לערך הממוצע,"mobile, iOS",0,8001-9000,(08) דרום,יס - Yes,אפל מיוזיק - Apple music,8500,נטפליקס – Netflix; דיסני פלוס; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,18-25,TRUE
883,אישה,25,יהודי,דתי/ה,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,(09) שרון,יס - Yes; יס פלוס - Yes,ספוטיפיי – Spotify,9500,נטפליקס – Netflix; אמאזון פריים - Amazon Prime,18-25,TRUE
908,אישה,25,יהודי,דתי/ה,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,8001-9000,מעט מתחת לערך הממוצע,"mobile, iOS",0,8001-9000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,8500,נטפליקס – Netflix,18-25,TRUE
957,אישה,25,ערבי - מוסלמי,חילוני/ת,סיב אופטי,פלאפון,יסודית,6001-7000,מעט מתחת לערך הממוצע,"mobile, iOS",0,6001-7000,הכרמל וסביבותיו,אף אחד מהם,לא יודע ת,6500,לא יודע ת,18-25,FALSE
981,אישה,25,יהודי,מסורתי/ת,סיב אופטי,פלאפון,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,5001-6000,מעט מתחת לערך הממוצע,"mobile, iOS",0,5001-6000,(03) מרכז,יס - Yes,אפל מיוזיק - Apple music,5500,יוטיוב - YouTube - מנוי בתשלום,18-25,FALSE
984,אישה,25,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,18001-22000,מעט מעל הערך הממוצע,"mobile, iOS",0,18001-22000,(08) דרום,Sting TV,ספוטיפיי – Spotify,20000,נטפליקס – Netflix,18-25,TRUE
1018,אישה,25,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,9001-10000,מעט מתחת לערך הממוצע,"mobile, iOS",0,9001-10000,(03) מרכז,סלקום TV,אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,9500,נטפליקס – Netflix,18-25,TRUE
1024,אישה,25,יהודי,חילוני/ת,לא יודע/ת,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,דומה לממוצע,"mobile, Android",0,12001-13000,(02) ירושלים,פרטנר TV; אחר,ספוטיפיי – Spotify,12500,נטפליקס – Netflix; אחר,18-25,TRUE
1073,אישה,25,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,18001-22000,מעט מעל הערך הממוצע,"mobile, iOS",0,18001-22000,(02) ירושלים,הוט -Hot,אף אחד מהם,20000,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
1095,אישה,25,יהודי,מסורתי/ת,לא יודע/ת,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(09) שרון,יס פלוס - Yes,YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס; BIGI,18-25,TRUE
1102,אישה,25,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,על תיכונית,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(03) מרכז,יס פלוס - Yes,אפל מיוזיק - Apple music,10500,דיסני פלוס,18-25,FALSE
1105,אישה,25,ערבי - נוצרי,חילוני/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,7001-8000,מעט מתחת לערך הממוצע,"mobile, iOS",0,7001-8000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",יס פלוס - Yes; פרטנר TV,אף אחד מהם,7500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
1135,אישה,25,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,4001-5000,מעט מתחת לערך הממוצע,desktop,0,4001-5000,(08) דרום,יס - Yes; יס פלוס - Yes; פרטנר TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music; YouTube Music   YouTube Premium,4500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום; אפל TV - AppleTV,18-25,TRUE
1190,אישה,25,יהודי,דתי/ה,לא יודע/ת,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,5001-6000,מעט מתחת לערך הממוצע,desktop,0,5001-6000,(03) מרכז,אף אחד מהם,אף אחד מהם,5500,נטפליקס – Netflix,18-25,TRUE
1192,אישה,25,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify,13500,נטפליקס – Netflix,18-25,TRUE
1213,גבר,25,יהודי,דתי/ה,קו טלפון (ADSL),אינטרנט רימון/אתרוג,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(02) ירושלים,הוט -Hot,ספוטיפיי – Spotify,15000,נטפליקס – Netflix; דיסני פלוס; BIGI,18-25,TRUE
1218,גבר,25,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,עד 3000,מעט מתחת לערך הממוצע,"mobile, Android",0,עד 3000,(02) ירושלים,אף אחד מהם,ספוטיפיי – Spotify,1500,נטפליקס – Netflix; דיסני פלוס,18-25,TRUE
1226,אישה,25,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,3001-4000,מעט מתחת לערך הממוצע,"mobile, Android",0,3001-4000,(04) צפון,יס - Yes,אף אחד מהם,3500,נטפליקס – Netflix,18-25,TRUE
1229,אישה,25,יהודי,דתי/ה,סיב אופטי,בזק בינלאומי,על תיכונית,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(03) מרכז,אף אחד מהם,ספוטיפיי – Spotify; YouTube Music   YouTube Premium; אחר,13500,יוטיוב - YouTube - מנוי בתשלום; אחר,18-25,FALSE
48,גבר,26,ערבי - מוסלמי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,5001-6000,מעט מתחת לערך הממוצע,"mobile, Android",0,5001-6000,נצרת וסביבותיה,אף אחד מהם,לא יודע ת,5500,נטפליקס – Netflix; דיסני פלוס; BIGI,26-35,TRUE
98,אישה,26,יהודי,חילוני/ת,קו טלפון (ADSL),פלאפון,על יסודית,12001-13000,מעט מתחת לערך הממוצע,desktop,0,12001-13000,(04) צפון,יס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,יוטיוב - YouTube - מנוי בתשלום,26-35,FALSE
243,אישה,26,ערבי - נוצרי,חילוני/ת,לא יודע/ת,בזק בינלאומי,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,"mobile, iOS",0,16001-18000,"ערים מעורבות (ירושלים, חיפה, עכו, נצרת, לוד, רמלה, יפו)",FreeTV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,17000,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,26-35,TRUE
307,גבר,26,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,16001-18000,מעט מעל הערך הממוצע,"mobile, iOS",0,16001-18000,(04) צפון,Hot-NextTV; פרטנר TV; Sting TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,17000,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
320,גבר,26,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,16001-18000,מעט מעל הערך הממוצע,"mobile, Android",0,16001-18000,(08) דרום,אף אחד מהם,ספוטיפיי – Spotify,17000,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
498,גבר,26,יהודי,חילוני/ת,סיב אופטי,אחר,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(02) ירושלים,יס פלוס - Yes,ספוטיפיי – Spotify,,נטפליקס – Netflix,26-35,TRUE
512,גבר,26,יהודי,חילוני/ת,סיב אופטי,סלקום,אקדמאית תואר שני,3001-4000,מעט מתחת לערך הממוצע,desktop,0,3001-4000,(03) מרכז,הוט -Hot,ספוטיפיי – Spotify,3500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
651,גבר,26,יהודי,חילוני/ת,לא יודע/ת,לא יודע/ת,מסרב/ת להשיב,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(04) צפון,לא יודע ת,לא יודע ת,,לא יודע ת,26-35,FALSE
752,גבר,26,יהודי,חילוני/ת,סיב אופטי,פרטנר,על תיכונית,14001-16000,מעט מעל הערך הממוצע,desktop,0,14001-16000,(03) מרכז,יס - Yes,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,26-35,TRUE
758,גבר,26,יהודי,חילוני/ת,סיב אופטי,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,(08) דרום,פרטנר TV,ספוטיפיי – Spotify,9500,נטפליקס – Netflix,26-35,TRUE
764,אישה,26,יהודי,דתי/ה,סיב אופטי,פלאפון,על תיכונית,8001-9000,מעט מתחת לערך הממוצע,"mobile, iOS",0,8001-9000,(04) צפון,לא יודע ת,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,8500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime; דיסקברי פלוס - Discovery Plus,26-35,TRUE
772,אישה,26,ערבי - מוסלמי,דתי/ה,כבלים של הוט,פלאפון,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,6001-7000,מעט מתחת לערך הממוצע,"mobile, iOS",0,6001-7000,נצרת וסביבותיה,הוט -Hot,YouTube Music   YouTube Premium,6500,נטפליקס – Netflix,26-35,TRUE
812,גבר,26,יהודי,חילוני/ת,סיב אופטי,נטוויזן,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, iOS",0,מסרב|ת להשיב,(03) מרכז,סלקום TV; אחר,אפל מיוזיק - Apple music,,נטפליקס – Netflix,26-35,TRUE
835,אישה,26,יהודי,חילוני/ת,סיב אופטי,סלקום,תיכונית / ישיבה קטנה,12001-13000,מעט מתחת לערך הממוצע,"mobile, iOS",0,12001-13000,(08) דרום,סלקום TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
837,אישה,26,יהודי,מסורתי/ת,קו טלפון (ADSL),בזק בינלאומי,אקדמאית תואר שני,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(08) דרום,יס - Yes,ספוטיפיי – Spotify,13500,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
841,אישה,26,יהודי,מסורתי/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(04) צפון,Hot-NextTV; יס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,26-35,TRUE
855,גבר,26,יהודי,חילוני/ת,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,26-35,TRUE
888,אישה,26,יהודי,מסורתי/ת,לא יודע/ת,בזק בינלאומי,על תיכונית,3001-4000,מעט מתחת לערך הממוצע,"mobile, Android",0,3001-4000,(08) דרום,יס פלוס - Yes,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,3500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
934,אישה,26,יהודי,מסורתי/ת,לא יודע/ת,סלקום,אקדמאית תואר שני,16001-18000,מעט מעל הערך הממוצע,desktop,0,16001-18000,(03) מרכז,סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,17000,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
941,אישה,26,יהודי,חילוני/ת,סיב אופטי,פרטנר,על תיכונית,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(03) מרכז,פרטנר TV,ספוטיפיי – Spotify,20000,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
948,אישה,26,יהודי,חרדי/ת,לא יודע/ת,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(03) מרכז,אף אחד מהם,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,15000,לא יודע ת,26-35,FALSE
956,אישה,26,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(04) צפון,יס - Yes,אף אחד מהם,10500,נטפליקס – Netflix; BIGI,26-35,TRUE
1053,אישה,26,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר שני,18001-22000,מעט מעל הערך הממוצע,"mobile, Android",0,18001-22000,(03) מרכז,יס - Yes; סלקום TV; פרטנר TV,ספוטיפיי – Spotify,20000,נטפליקס – Netflix,26-35,TRUE
1084,אישה,26,יהודי,חילוני/ת,סיב אופטי,סלקום,על תיכונית,3001-4000,מעט מתחת לערך הממוצע,desktop,0,3001-4000,(03) מרכז,הוט -Hot; סלקום TV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,3500,נטפליקס – Netflix; דיסני פלוס; אמאזון פריים - Amazon Prime,26-35,TRUE
1101,אישה,26,יהודי,דתי/ה,סיב אופטי,בזק בינלאומי,תיכונית / ישיבה קטנה,8001-9000,מעט מתחת לערך הממוצע,"mobile, Android",0,8001-9000,(03) מרכז,אף אחד מהם,YouTube Music   YouTube Premium,8500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
1151,גבר,26,יהודי,מסורתי/ת,לא יודע/ת,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,4001-5000,מעט מתחת לערך הממוצע,desktop,0,4001-5000,(08) דרום,פרטנר TV,YouTube Music   YouTube Premium,4500,לא יודע ת,26-35,FALSE
1172,אישה,26,יהודי,חילוני/ת,לא יודע/ת,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(02) ירושלים,FreeTV,ספוטיפיי – Spotify,15000,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
1196,אישה,26,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מעל 36000,,"mobile, Android",0,מעל 36000,(03) מרכז,עידן פלוס - Idan,ספוטיפיי – Spotify,,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
137,אישה,27,ערבי - מוסלמי,חילוני/ת,לא יודע/ת,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,הרבה מתחת לממוצע,"mobile, iOS",0,עד 3000,ואדי ערה,אף אחד מהם,אף אחד מהם,1500,לא יודע ת,26-35,FALSE
211,אישה,27,יהודי,חרדי/ת,אחר,גולן טלקום,על יסודית,10001-11000,מעט מתחת לערך הממוצע,"mobile, Android",0,10001-11000,(08) דרום,אף אחד מהם,אחר,10500,נטפליקס – Netflix,26-35,TRUE
330,גבר,27,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,לא יודע/ת,דומה לממוצע,"mobile, Android",0,12001-13000,(08) דרום,יס - Yes,YouTube Music   YouTube Premium,12500,נטפליקס – Netflix,26-35,TRUE
360,גבר,27,יהודי,חילוני/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,18001-22000,מעט מעל הערך הממוצע,desktop,0,18001-22000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,20000,נטפליקס – Netflix; אחר,26-35,TRUE
393,גבר,27,יהודי,חילוני/ת,סיב אופטי,פרטנר,על יסודית,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(04) צפון,Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
433,גבר,27,יהודי,מסורתי/ת,סיב אופטי,הוט נט,על תיכונית,לא יודע/ת,הרבה מתחת לממוצע,desktop,0,עד 3000,(02) ירושלים,הוט -Hot,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,1500,נטפליקס – Netflix,26-35,TRUE
438,גבר,27,יהודי,חילוני/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,10001-11000,מעט מתחת לערך הממוצע,"mobile, Android",0,10001-11000,(02) ירושלים,הוט -Hot; סלקום TV,אפל מיוזיק - Apple music,10500,נטפליקס – Netflix; אחר,26-35,TRUE
447,גבר,27,יהודי,חרדי/ת,אחר,אחר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(04) צפון,אף אחד מהם,אחר,12500,נטפליקס – Netflix,26-35,TRUE
457,אישה,27,ערבי - נוצרי,חילוני/ת,סיב אופטי,בזק בינלאומי,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,18001-22000,מעט מעל הערך הממוצע,desktop,0,18001-22000,הגליל והגולן,אף אחד מהם,YouTube Music   YouTube Premium,20000,אפל TV - AppleTV,26-35,FALSE
460,גבר,27,יהודי,חילוני/ת,סיב אופטי,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(04) צפון,הוט -Hot,ספוטיפיי – Spotify,15000,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
473,גבר,27,אחר,חילוני/ת,סיב אופטי,לא יודע/ת,תיכונית / ישיבה קטנה,13001-14000,מעט מעל הערך הממוצע,"mobile, iOS",0,13001-14000,(08) דרום,יס פלוס - Yes; Sting TV,YouTube Music   YouTube Premium,13500,נטפליקס – Netflix; דיסני פלוס; יוטיוב - YouTube - מנוי בתשלום,26-35,TRUE
482,גבר,27,יהודי,חילוני/ת,סיב אופטי,לא יודע/ת,תיכונית / ישיבה קטנה,12001-13000,מעט מתחת לערך הממוצע,"mobile, iOS",0,12001-13000,(04) צפון,FreeTV,אף אחד מהם,12500,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
542,אישה,27,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,desktop,0,מסרב|ת להשיב,(02) ירושלים,אף אחד מהם,ספוטיפיי – Spotify,,נטפליקס – Netflix; דיסני פלוס; אפל TV - AppleTV,26-35,TRUE
580,גבר,27,יהודי,מסורתי/ת,סיב אופטי,פלאפון,על תיכונית,10001-11000,מעט מתחת לערך הממוצע,"mobile, Android",0,10001-11000,(04) צפון,סלקום TV,לא יודע ת,10500,נטפליקס – Netflix,26-35,TRUE
671,גבר,27,יהודי,דתי/ה,לא יודע/ת,019 mobile,על תיכונית,13001-14000,מעט מעל הערך הממוצע,"mobile, Android",0,13001-14000,(02) ירושלים,אף אחד מהם,אף אחד מהם,13500,נטפליקס – Netflix,26-35,TRUE
706,גבר,27,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,על תיכונית,9001-10000,מעט מתחת לערך הממוצע,"mobile, iOS",0,9001-10000,(04) צפון,סלקום TV,אף אחד מהם,9500,נטפליקס – Netflix,26-35,TRUE
733,אישה,27,יהודי,מסורתי/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,דומה לממוצע,"mobile, iOS",0,12001-13000,(03) מרכז,לא יודע ת,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,12500,נטפליקס – Netflix,26-35,TRUE
765,אישה,27,יהודי,מסורתי/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,12001-13000,מעט מתחת לערך הממוצע,"mobile, Android",0,12001-13000,(03) מרכז,הוט -Hot; פרטנר TV,אפל מיוזיק - Apple music,12500,נטפליקס – Netflix; דיסני פלוס,26-35,TRUE
879,אישה,27,ערבי - נוצרי,חילוני/ת,סיב אופטי,לא יודע/ת,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,5001-6000,מעט מתחת לערך הממוצע,"mobile, iOS",0,5001-6000,נצרת וסביבותיה,לא יודע ת,אף אחד מהם,5500,יוטיוב - YouTube - מנוי בתשלום; אפל TV - AppleTV,26-35,FALSE
899,אישה,27,יהודי,חילוני/ת,לא יודע/ת,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,מסרב/ת להשיב,מסרב/ת להשיב,"mobile, Android",0,מסרב|ת להשיב,(02) ירושלים,FreeTV,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,,נטפליקס – Netflix; אפל TV - AppleTV,26-35,TRUE
911,אישה,27,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר שני,9001-10000,מעט מתחת לערך הממוצע,desktop,0,9001-10000,(03) מרכז,Sting TV,ספוטיפיי – Spotify; YouTube Music   YouTube Premium,9500,נטפליקס – Netflix; יוטיוב - YouTube - מנוי בתשלום; אפל TV - AppleTV,26-35,TRUE
974,גבר,27,יהודי,דתי/ה,סיב אופטי,בזק בינלאומי,על תיכונית,4001-5000,מעט מתחת לערך הממוצע,"mobile, Android",0,4001-5000,(08) דרום,עידן פלוס - Idan,YouTube Music   YouTube Premium,4500,נטפליקס – Netflix,26-35,TRUE
985,אישה,27,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,14001-16000,מעט מעל הערך הממוצע,"mobile, Android",0,14001-16000,(08) דרום,הוט -Hot,ספוטיפיי – Spotify,15000,נטפליקס – Netflix,26-35,TRUE
989,גבר,27,יהודי,מסורתי/ת,כבלים של הוט,הוט נט,תיכונית / ישיבה קטנה,10001-11000,מעט מתחת לערך הממוצע,"mobile, iOS",0,10001-11000,(04) צפון,יס פלוס - Yes,ספוטיפיי – Spotify; אפל מיוזיק - Apple music,10500,נטפליקס – Netflix; BIGI,26-35,TRUE
995,אישה,27,יהודי,חילוני/ת,סיב אופטי,פרטנר,אקדמאית תואר ראשון / ישיבה גבוהה / כולל,9001-10000,מעט מתחת לערך הממוצע,"mobile, Android",0,9001-10000,(09) שרון,פרטנר TV,YouTube Music   YouTube Premium,9500,נטפליקס – Netflix; אפל TV - AppleTV; אמאזון פריים - Amazon Prime,26-35,TRUE
